INFO:root:{'sample_nr': 32, 'timestamp': 11217101160810, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.906494140625, 'raw_pressure': 101358.21875, 'raw_humidity': 37.78185272216797, 'raw_gas': 8907.421875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.844375610351562, 'humidity': 51.429779052734375, 'comp_gas_value': 4.650921821594238, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 33, 'timestamp': 11220185726197, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.872119903564453, 'raw_pressure': 101356.4609375, 'raw_humidity': 37.8011474609375, 'raw_gas': 8930.1767578125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.81002426147461, 'humidity': 51.53531265258789, 'comp_gas_value': 4.651545524597168, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 34, 'timestamp': 11223270384550, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.870227813720703, 'raw_pressure': 101358.0625, 'raw_humidity': 37.789546966552734, 'raw_gas': 8907.421875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.808134078979492, 'humidity': 51.500423431396484, 'comp_gas_value': 4.651618003845215, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 35, 'timestamp': 11226355038598, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.865182876586914, 'raw_pressure': 101357.5546875, 'raw_humidity': 37.80043029785156, 'raw_gas': 8930.1767578125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.803089141845703, 'humidity': 51.50828552246094, 'comp_gas_value': 4.652005195617676, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 36, 'timestamp': 11229439261012, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.858245849609375, 'raw_pressure': 101357.796875, 'raw_humidity': 37.81683349609375, 'raw_gas': 8930.1767578125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.796138763427734, 'humidity': 51.530128479003906, 'comp_gas_value': 4.6522650718688965, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 37, 'timestamp': 11232523692397, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.845947265625, 'raw_pressure': 101358.671875, 'raw_humidity': 37.82698059082031, 'raw_gas': 8922.5791015625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.78384780883789, 'humidity': 51.557289123535156, 'comp_gas_value': 4.652316093444824, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 38, 'timestamp': 11235608273380, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.833646774291992, 'raw_pressure': 101357.15625, 'raw_humidity': 37.825721740722656, 'raw_gas': 8968.36328125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.77155113220215, 'humidity': 51.56639099121094, 'comp_gas_value': 4.653023719787598, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 39, 'timestamp': 11238690803132, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.828601837158203, 'raw_pressure': 101356.3203125, 'raw_humidity': 37.85943603515625, 'raw_gas': 8960.7001953125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.76644515991211, 'humidity': 51.60296630859375, 'comp_gas_value': 4.653393745422363, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 40, 'timestamp': 11241775008623, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.831439971923828, 'raw_pressure': 101357.8203125, 'raw_humidity': 37.86542892456055, 'raw_gas': 8953.0498046875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.769332885742188, 'humidity': 51.583492279052734, 'comp_gas_value': 4.653530597686768, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 41, 'timestamp': 11244859334066, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.847522735595703, 'raw_pressure': 101356.1796875, 'raw_humidity': 37.88420104980469, 'raw_gas': 8976.0390625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.785419464111328, 'humidity': 51.553672790527344, 'comp_gas_value': 4.653985977172852, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
